,propeller_1 rpm [1/min],propeller_1 shaft_power_in [kW],propeller_1 torque_in [N*m],propeller_1 efficiency [-],propeller_1 advance_ratio [-],propeller_1 reynolds_D [-],propeller_1 tip_mach [-],propeller_1 thrust_coefficient [-],propeller_1 power_coefficient [-],propeller_elec_1 rpm [1/min],propeller_elec_1 shaft_power_in [kW],propeller_elec_1 torque_in [N*m],propeller_elec_1 efficiency [-],propeller_elec_1 advance_ratio [-],propeller_elec_1 reynolds_D [-],propeller_elec_1 tip_mach [-],propeller_elec_1 thrust_coefficient [-],propeller_elec_1 power_coefficient [-],propeller_elec_2 rpm [1/min],propeller_elec_2 shaft_power_in [kW],propeller_elec_2 torque_in [N*m],propeller_elec_2 efficiency [-],propeller_elec_2 advance_ratio [-],propeller_elec_2 reynolds_D [-],propeller_elec_2 tip_mach [-],propeller_elec_2 thrust_coefficient [-],propeller_elec_2 power_coefficient [-],motor_1 efficiency [-],motor_1 torque_out [N*m],motor_1 ac_current_rms_in [A],motor_1 ac_voltage_rms_in [V],motor_2 efficiency [-],motor_2 torque_out [N*m],motor_2 ac_current_rms_in [A],motor_2 ac_voltage_rms_in [V],inverter_1 modulation_index [-],inverter_1 efficiency [-],inverter_1 dc_current_in [A],inverter_1 diode_temperature [degK],inverter_1 IGBT_temperature [degK],inverter_1 casing_temperature [degK],inverter_1 losses_inverter [W],inverter_1 switching_losses_IGBT [W],inverter_1 switching_losses_diode [W],inverter_1 conduction_losses_IGBT [W],inverter_1 conduction_losses_diode [W],inverter_2 modulation_index [-],inverter_2 efficiency [-],inverter_2 dc_current_in [A],inverter_2 diode_temperature [degK],inverter_2 IGBT_temperature [degK],inverter_2 casing_temperature [degK],inverter_2 losses_inverter [W],inverter_2 switching_losses_IGBT [W],inverter_2 switching_losses_diode [W],inverter_2 conduction_losses_IGBT [W],inverter_2 conduction_losses_diode [W],dc_bus_1 dc_voltage [V],dc_bus_2 dc_voltage [V],harness_1 dc_current [A],harness_1 cable_temperature [degK],harness_1 conduction_losses [W],harness_2 dc_current [A],harness_2 cable_temperature [degK],harness_2 conduction_losses [W],bus_nose dc_voltage [V],dc_dc_converter_1 efficiency [-],dc_dc_converter_1 duty_cycle [-],dc_dc_converter_1 dc_current_in [A],dc_dc_converter_1 dc_current_out [A],battery_pack_1 c_rate [1/h],battery_pack_1 state_of_charge [percent],battery_pack_1 open_circuit_voltage [V],battery_pack_1 internal_resistance [ohm],battery_pack_1 voltage_out [V],battery_pack_1 efficiency [-],battery_pack_1 relative_capacity [-],battery_pack_1 power_out [kW],battery_pack_1 CO2_emissions [g],battery_pack_1 CO_emissions [g],battery_pack_1 NOx_emissions [g],battery_pack_1 SOx_emissions [g],battery_pack_1 H2O_emissions [g],battery_pack_1 HC_emissions [g],gearbox_1 torque_in [N*m],gearbox_1 torque_out [N*m],gearbox_1 rpm_in [min**-1],gearbox_1 shaft_power_in [kW],turboshaft_1 specific_fuel_consumption [kg/kW/h],turboshaft_1 fuel_consumption [kg/h],turboshaft_1 fuel_consumed_t [kg],turboshaft_1 design_power_opr_limit [kW],turboshaft_1 design_power_itt_limit [kW],turboshaft_1 power_required [kW],turboshaft_1 equivalent_rated_power_opr_limit [kW],turboshaft_1 equivalent_rated_power_itt_limit [kW],turboshaft_1 CO2_emissions [kg],turboshaft_1 CO_emissions [g],turboshaft_1 NOx_emissions [g],turboshaft_1 SOx_emissions [g],turboshaft_1 H2O_emissions [kg],turboshaft_1 HC_emissions [g],turboshaft_1 equivalent_efficiency [-],fuel_system_1 fuel_flowing_t [kg],fuel_tank_1 fuel_remaining_t [kg],fuel_tank_2 fuel_remaining_t [kg],thrust [N],altitude [m],time_step [s],true_airspeed [m/s],exterior_temperature [degK],propeller_1 delta_Cd [-],propeller_1 delta_Cl [-],propeller_1 delta_Cm [-],propeller_elec_1 delta_Cd [-],propeller_elec_1 delta_Cl [-],propeller_elec_1 delta_Cm [-],propeller_elec_2 delta_Cd [-],propeller_elec_2 delta_Cl [-],propeller_elec_2 delta_Cm [-],motor_1 delta_Cd [-],motor_2 delta_Cd [-],inverter_1 delta_Cd [-],inverter_2 delta_Cd [-],dc_bus_1 delta_Cd [-],dc_bus_2 delta_Cd [-],harness_1 delta_Cd [-],harness_2 delta_Cd [-],bus_nose delta_Cd [-],dc_dc_converter_1 delta_Cd [-],battery_pack_1 delta_Cd [-],gearbox_1 delta_Cd [-],turboshaft_1 exhaust_velocity [m/s],turboshaft_1 exhaust_mass_flow [kg/s],turboshaft_1 exhaust_thrust [N],turboshaft_1 delta_Cd [-],fuel_system_1 delta_Cd [-],fuel_tank_1 delta_Cd [-],fuel_tank_2 delta_Cd [-]
0,1900.0,8.055,40.48399157700685,0.5,0.1077024041585445,49684798.52836029,0.6239602417784501,0.00669963959576341,0.001443134582918997,3000.0,5.0,15.915494309189533,0.5,0.1399848828420257,23260051.005673498,0.4613431066236729,0.0016991407111860235,0.00047570802677498347,3000.0,5.0,15.915494309189533,0.5,0.1399848828420257,23260051.005673498,0.4613431066236729,0.0016991407111860235,0.00047570802677498347,0.9940040947544595,15.915494309189533,51.784161438766354,97.13704393699561,0.9940040947544595,15.915494309189533,51.784161438766354,97.13704393699561,0.11898153695475924,0.95,5.295503845927814,358.15,358.15,290.1355838243511,595.6751473053332,54.82757045974396,37.38249479522731,3.9715788126418676,3.0975471499424025,0.11898153695475924,0.95,5.295503845927814,358.15,358.15,290.1355838243511,595.6751473053332,54.82757045974396,37.38249479522731,3.9715788126418676,3.0975471499424025,999.8870365005492,999.8870365005492,5.295503845928919,288.15,0.19939954859702416,5.295503845928919,288.15,0.19939954859702416,1000.0,0.95,0.548764744355456,13.558038286156718,10.591007691855628,0.07559593757153546,100.0,4.12,0.03406761781522783,822.2744997485876,0.9948557808217258,1.0,11.148429149321712,0.0,0.0,0.0,0.0,0.0,0.0,41.310195486741684,40.48399157700685,1900.0,8.21938775510204,2.0601286342672727,78.73685509844968,6.561404591537473,27.98685784298703,73.27795097416971,38.21938775510204,23.322381535822526,61.06495914514143,20.701231486300728,32.807022957687366,74.80001234352719,5.249123673229978,8.116457479731855,3.2807022957687364,0.040638690633187195,6.561404591537473,179.87500581488914,179.87500581488914,485.96112311015116,0.0,300.0,10.28888888888889,288.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1900.0,481.4949754034927,2419.967539243466,0.7083308668532177,0.5438971410006498,50568744.984401,0.6463595983038355,0.11234466156746868,0.08626468659298724,3000.0,30.700444566103126,97.7225501562806,0.6895848665300818,0.7069236583522298,23818025.213618312,0.48374246314905833,0.028492486114389322,0.02920889581131136,3000.0,30.700444566103126,97.7225501562806,0.6895848665300818,0.7069236583522298,23818025.213618312,0.48374246314905833,0.028492486114389322,0.02920889581131136,0.9717905243310294,97.7225501562806,317.9593555305963,99.35744073259478,0.9717905243310294,97.7225501562806,317.9593555305963,99.35744073259478,0.12177399609731383,0.95,33.277978067033715,358.15,358.15,296.3495288786812,2459.858663604376,246.66372167812264,99.21083602390854,34.96607383236011,29.135812399671323,0.12177399609731383,0.95,33.277978067033715,358.15,358.15,296.3495288786812,2459.858663604376,246.66372167812264,99.21083602390854,34.96607383236011,29.135812399671323,999.2898309306898,999.2898309306898,33.2779780670335,288.24994719505554,7.877663570796306,33.2779780670335,288.24994719505554,7.877663570796306,1000.0,0.95,0.5520021351058471,86.3233199811332,66.55595613406743,0.4813153769394801,99.37003385357053,4.114703151840787,0.03520648949308034,811.5871957782351,0.9831569832658572,0.9824117487224224,70.05890119375519,0.0,0.0,0.0,0.0,0.0,0.0,2469.3546318810877,2419.967539243466,1900.0,491.3214034729517,0.5157688447222857,268.8813379982448,1.0062886665777628,330.73263688453443,660.8557511370157,521.3214034729517,275.610530737112,550.713125947513,3.174840743052842,5.031443332888815,11.471690798986497,0.8050309332622103,1.2447790805566927,0.5031443332888814,0.16232258130604507,1.0062886665777628,176.5943035191204,176.5943035191204,8148.966392950561,0.0,13.473003469298392,51.95888888888889,288.15,0.00010421258138616526,0.0,-0.0008689109557171102,7.398676084736342e-07,0.0027413294205027327,-6.168919934923555e-06,7.398676084736342e-07,0.0027413294205027327,-6.168919934923555e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.04789396519408,3.304669224355682,393.5497700348033,-0.009238453433584823,0.0,0.0,0.0
2,1900.0,477.61196116716565,2400.451721039014,0.7092007969200432,0.5466513694512322,50162087.94745669,0.6481329627667802,0.11214052563774425,0.08643782152682097,3000.0,30.502532625460642,97.09257688327739,0.6893074443602359,0.7105034331027301,23627942.336793866,0.48512936374874394,0.028440713826663588,0.02931525689888873,3000.0,30.502532625460642,97.09257688327739,0.6893074443602359,0.7105034331027301,23627942.336793866,0.48512936374874394,0.028440713826663588,0.02931525689888873,0.9719646135475052,97.09257688327739,315.9096147536183,99.33964475652007,0.9719646135475052,97.09257688327739,315.9096147536183,99.33964475652007,0.12175167158440864,0.95,33.057388491589236,358.15,358.15,296.2945175992538,2443.355279776159,244.82758778913907,98.86796230328187,34.65952048415873,28.870809386113493,0.12175167158440864,0.95,33.057388491589236,358.15,358.15,296.2945175992538,2443.355279776159,244.82758778913907,98.86796230328187,34.65952048415873,28.870809386113493,999.2940454789671,999.2940454789671,33.05738849159042,288.424323959823,7.77900428639347,33.05738849159042,288.424323959823,7.77900428639347,1000.0,0.95,0.5521037297974242,85.78634548252927,66.11477698317847,0.4783213530388827,99.1866765938086,4.113192812788179,0.03552449610332616,811.2538387793835,0.9831792767369871,0.9825490511476166,69.5945020875563,0.0,0.0,0.0,0.0,0.0,0.0,2449.4405316724633,2400.451721039014,1900.0,487.3591440481282,0.5145694682854771,266.2172196654749,1.0086163287735417,332.65336418518325,658.0045211052976,517.3591440481282,277.21113682098604,548.3371009210814,3.182184517280524,5.043081643867708,11.498226148018375,0.8068930630188333,1.247658398692871,0.5043081643867708,0.162700928431515,1.0086163287735417,176.09115918583151,176.09115918583151,8052.400088559658,105.10344827586206,13.639308487059706,52.22200233305067,287.4668275862069,0.00010205907214568509,0.0,-0.000850955275631254,7.229980525283616e-07,0.002711429746197397,-6.02826377053383e-06,7.229980525283616e-07,0.002711429746197397,-6.02826377053383e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.41708396825888,3.2756559058258556,390.44207310376476,-0.00916550125429488,0.0,0.0,0.0
3,1900.0,473.74733667230674,2381.0283286742515,0.7100671182590943,0.549426148137237,49757891.02482819,0.6499177656282814,0.11193431481932059,0.08661102289364107,3000.0,30.305286260651407,96.46472220395144,0.689020672624459,0.714109917770437,23439011.712144725,0.4865258614882842,0.028388415312443183,0.02942212001736416,3000.0,30.305286260651407,96.46472220395144,0.689020672624459,0.714109917770437,23439011.712144725,0.4865258614882842,0.028388415312443183,0.02942212001736416,0.9721381619844567,96.46472220395144,313.8667672339201,99.32191040481061,0.9721381619844567,96.46472220395144,313.8667672339201,99.32191040481061,0.12172941530237169,0.95,32.837617171234804,358.15,358.15,296.2398018749131,2426.940562473942,243.00317054549168,98.52418393081282,34.35504829925949,28.607690970093017,0.12172941530237169,0.95,32.837617171234804,358.15,358.15,296.2398018749131,2426.940562473942,243.00317054549168,98.52418393081282,34.35504829925949,28.607690970093017,999.2983214693603,999.2983214693603,32.83761717123279,288.57293615234994,7.680483655473167,32.83761717123279,288.57293615234994,7.680483655473167,1000.0,0.95,0.5522043444072541,85.25070301464513,65.67523434246961,0.475334756179647,99.00223648077288,4.111687090339258,0.035838370586146175,810.9238185610757,0.9832051290464214,0.9826870125721179,69.13182562365223,0.0,0.0,0.0,0.0,0.0,0.0,2429.6207435451543,2381.0283286742515,1900.0,483.4156496656191,0.5133692106862845,263.5717868228249,1.0110738509036759,334.5866900187291,655.1638923126467,513.4156496656192,278.82224168227424,545.9699102605389,3.189937999601097,5.0553692545183795,11.526241900301905,0.8088590807229408,1.250698353567847,0.5055369254518379,0.16308132332408082,1.0110738509036759,175.58685102144474,175.58685102144474,7956.612994540917,210.20689655172413,13.809770412566884,52.48707895612712,286.7836551724138,9.993970028269179e-05,0.0,-0.0008332842285609437,7.064444886629105e-07,0.002681689351018489,-5.890242307025942e-06,7.064444886629105e-07,0.002681689351018489,-5.890242307025942e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.78504468409412,3.246826842467141,387.3398373772883,-0.009092677275013885,0.0,0.0,0.0
4,1900.0,469.9010574443764,2361.697138622563,0.710929769286026,0.5522216798949438,49356144.91363347,0.6517141337663701,0.11172601601699667,0.08678428013337662,3000.0,30.108704160305948,95.83898194408411,0.6887244765321408,0.7177433759893239,23251228.98745835,0.48793207005561906,0.028335587250565994,0.02952948638658144,3000.0,30.108704160305948,95.83898194408411,0.6887244765321408,0.7177433759893239,23251228.98745835,0.48793207005561906,0.028335587250565994,0.02952948638658144,0.9723111700195363,95.83898194408411,311.8307993898679,99.30423757630744,0.9723111700195363,95.83898194408411,311.8307993898679,99.30423757630744,0.12170722735315141,0.95,32.61866195763644,358.15,358.15,296.18538022593583,2410.614067780751,241.19040186812796,98.17951939585963,34.052644606353546,28.346445426450735,0.12170722735315141,0.95,32.61866195763644,358.15,358.15,296.18538022593583,2410.614067780751,241.19040186812796,98.17951939585963,34.052644606353546,28.346445426450735,999.3026570733496,999.3026570733496,32.61866195763615,288.6959238083691,7.582131064319739,32.61866195763615,288.6959238083691,7.582131064319739,1000.0,0.95,0.5523040129992298,84.71640728464587,65.23732391527288,0.47235566836492954,98.81668333900801,4.110185580510584,0.03614812234845345,810.5970198724494,0.9832345093376728,0.9828256258054774,68.6708672792346,0.0,0.0,0.0,0.0,0.0,0.0,2409.8950394107787,2361.697138622563,1900.0,479.49087494324124,0.5121680682512941,260.94495721134155,1.0136658439532045,336.53265142167317,652.3336712592256,509.49087494324124,280.4438761847276,543.6113927160214,3.19811573767236,5.068329219766023,11.555790621066532,0.8109326751625636,1.2539046489701138,0.5068329219766022,0.16346378351623564,1.0136658439532045,175.08131409599292,175.08131409599292,7861.601855277156,315.31034482758616,13.984547075481593,52.75413813521531,286.10048275862067,9.785411564169104e-05,0.0,-0.000815894894955189,6.902023884477476e-07,0.0026521096911611497,-5.754817786943151e-06,6.902023884477476e-07,0.0026521096911611497,-5.754817786943151e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.15175618465443,3.2181812996135095,384.24318162510144,-0.00901998428382273,0.0,0.0,0.0
5,1900.0,466.07307897678004,2342.457927196227,0.7117886875872577,0.5550381700536384,48956840.32639453,0.653522196059231,0.111515616031383,0.0869575824030995,3000.0,29.91278501315263,95.21535192976812,0.6884187804896468,0.7214040746336197,23064589.817683604,0.48934810501255527,0.028282226293445973,0.02963735718146763,3000.0,29.91278501315263,95.21535192976812,0.6884187804896468,0.7214040746336197,23064589.817683604,0.48934810501255527,0.028282226293445973,0.02963735718146763,0.972483638030242,95.21535192976812,309.80169764084127,99.286626170172,0.972483638030242,95.21535192976812,309.80169764084127,99.286626170172,0.12168510783688342,0.95,32.400520704830576,358.15,358.15,296.13125117930736,2394.375353792211,239.38921401400722,97.83398706352092,33.75229679853924,28.087061089301123,0.12168510783688342,0.95,32.400520704830576,358.15,358.15,296.13125117930736,2394.375353792211,239.38921401400722,97.83398706352092,33.75229679853924,28.087061089301123,999.3070504789756,999.3070504789756,32.40052070483312,288.7934286693832,7.483975101118298,32.40052070483312,288.7934286693832,7.483975101118298,1000.0,0.95,0.5524027701212648,84.183472837464,64.80104140966115,0.46938417069332194,98.6299858124756,4.108687870590786,0.03645376014884633,810.2733260741571,0.9832673874536995,0.9829648835471161,68.21162253648542,0.0,0.0,0.0,0.0,0.0,0.0,2390.2631910165583,2342.4579271962275,1900.0,475.5847744661021,0.5109660372582641,258.3366487070573,1.0163971558571556,338.4912839566037,649.513664701978,505.5847744661021,282.0760699638364,541.2613872516483,3.206733026729326,5.0819857792857785,11.586927576771574,0.8131177246857245,1.2572832817953015,0.5081985779285778,0.16384832675335329,1.0163971558571556,174.5744811740163,174.5744811740163,7767.363410579273,420.41379310344826,14.16380439786127,53.02319948557105,285.41731034482757,9.580196891883584e-05,0.0,-0.000798784362363924,6.742672644134779e-07,0.002622692170373475,-5.621952794349021e-06,6.742672644134779e-07,0.002622692170373475,-5.621952794349021e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.5171984088993,3.1897185437356628,381.1522242308695,-0.008947425059739632,0.0,0.0,0.0
6,1900.0,462.263356716188,2323.3104704726343,0.71264380990738,0.5578758264723178,48559967.99104456,0.6553420834248526,0.11130310155448861,0.0871309185674576,3000.0,29.71752750730664,94.59382798514446,0.6881035080814961,0.725092283865514,22879089.86493246,0.49077408383290144,0.028228329065953905,0.02974573352954862,3000.0,29.71752750730664,94.59382798514446,0.6881035080814961,0.725092283865514,22879089.86493246,0.49077408383290144,0.028228329065953905,0.02974573352954862,0.9726555663944666,94.59382798514446,307.7794483998694,99.26907608582908,0.9726555663944666,94.59382798514446,307.7794483998694,99.26907608582908,0.12166305685182537,0.95,32.18319126845042,358.15,358.15,296.077413268501,2378.2239805503123,237.59953956834244,97.4876051738353,33.453992331994925,27.829526350879377,0.12166305685182537,0.95,32.18319126845042,358.15,358.15,296.077413268501,2378.2239805503123,237.59953956834244,97.4876051738353,33.453992331994925,27.829526350879377,999.3114998908273,999.3114998908273,32.1831912684518,288.865594198216,7.386043567284456,32.1831912684518,288.865594198216,7.386043567284456,1000.0,0.95,0.5525006508362261,83.6519140608585,64.36638253690084,0.4664203433870589,98.44211130443163,4.107193538601742,0.03675529206686409,809.9526190357791,0.9833037339688331,0.9831047783864794,67.75408688094826,0.0,0.0,0.0,0.0,0.0,0.0,2370.724969870035,2323.3104704726343,1900.0,471.69730277162046,0.5097631139413824,255.74677931685375,1.0192728868676681,340.46262164432585,646.7036796217935,501.69730277162046,283.7188513702716,538.9197330181613,3.215805958067493,5.096364434338341,11.619710910291417,0.8154183094941345,1.2608405610553055,0.5096364434338341,0.1642349709951458,1.0192728868676681,174.06628259608772,174.06628259608772,7673.894395548697,525.5172413793103,14.347716919545164,53.29428286411528,284.73413793103447,9.378291168351791e-05,0.0,-0.0007819497256180334,6.586346699917476e-07,0.0025934381407176025,-5.491610254334684e-06,6.586346699917476e-07,0.0025934381407176025,-5.491610254334684e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.88135116012975,3.1614378424247307,378.0670831756509,-0.00887500237233174,0.0,0.0,0.0
7,1900.0,458.47184604690887,2304.2545442157466,0.7134950721363819,0.5607348595770251,48165518.65093432,0.6571739288616004,0.11108845916494947,0.08730427718858766,3000.0,29.522930329509435,93.9744059299813,0.6877785820506003,0.7288082771836835,22694724.79848124,0.49221012594150504,0.02817389216420731,0.029854616508317146,3000.0,29.522930329509435,93.9744059299813,0.6877785820506003,0.7288082771836835,22694724.79848124,0.49221012594150504,0.02817389216420731,0.029854616508317146,0.9728269554910877,93.9744059299813,305.76403806575365,99.25158722290568,0.9728269554910877,93.9744059299813,305.76403806575365,99.25158722290568,0.12164107449428632,0.95,31.966671504898716,358.15,358.15,296.023865033246,2362.1595099738124,235.82131143651046,97.14039184084737,33.15771872459926,27.57382966034499,0.12164107449428632,0.95,31.966671504898716,358.15,358.15,296.023865033246,2362.1595099738124,235.82131143651046,97.14039184084737,33.15771872459926,27.57382966034499,999.3160035300288,999.3160035300288,31.96667150490061,288.9125655953558,7.288363488694169,31.96667150490061,288.9125655953558,7.288363488694169,1000.0,0.95,0.5525976907551648,83.1217451907729,63.93334300979743,0.46346426582189343,98.25302591338959,4.105702152722998,0.03705272547046007,809.6347790259987,0.983343520221997,0.9832453028030848,67.29825579978679,0.0,0.0,0.0,0.0,0.0,0.0,2351.280147158925,2304.2545442157466,1900.0,467.8284143335805,0.5085592944969151,253.17526717400358,1.0222984061327889,342.4466968929298,643.9035231892946,497.8284143335805,285.3722474107749,536.5862693244121,3.225351471348949,5.111492030663944,11.654201829913793,0.8178387249062311,1.2645831283862599,0.5111492030663944,0.16462373441700218,1.0222984061327889,173.55664615265388,173.55664615265388,7581.191540430388,630.6206896551723,14.53646836501072,53.56740837300073,284.05096551724137,9.179659640001722e-05,0.0,-0.0007653880870098642,6.433001994521035e-07,0.0025643489033102427,-5.363753432492376e-06,6.433001994521035e-07,0.0025643489033102427,-5.363753432492376e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.24419410304006,3.1333384643749835,374.98787602069535,-0.00880271898131133,0.0,0.0,0.0
8,1900.0,454.69850227423353,2285.28992379239,0.7143424092967062,0.5636154823988249,47773483.06483938,0.6590178674897393,0.11087167532286654,0.08747764651546559,3000.0,29.328992164312428,93.35708157707577,0.6874439242775356,0.732552331472649,22511490.294772275,0.49365635275421443,0.028118912154261197,0.029964007142439398,3000.0,29.328992164312428,93.35708157707577,0.6874439242775356,0.732552331472649,22511490.294772275,0.49365635275421443,0.028118912154261197,0.029964007142439398,0.9729978057006066,93.35708157707577,303.75545301461364,99.2341594811649,0.9729978057006066,93.35708157707577,303.75545301461364,99.2341594811649,0.12161916085855055,0.95,31.750959270460026,358.15,358.15,295.9706050192827,2346.181505784817,234.05446283558302,96.79236505152626,32.863463554491446,27.319959522535495,0.12161916085855055,0.95,31.750959270460026,358.15,358.15,295.9706050192827,2346.181505784817,234.05446283558302,96.79236505152626,32.863463554491446,27.319959522535495,999.3205596342261,999.3205596342261,31.750959270460843,288.934489816124,7.190961126797734,31.750959270460843,288.934489816124,7.190961126797734,1000.0,0.95,0.5526939260730265,82.59298031700425,63.50191854092005,0.46051601655870544,98.06269436485937,4.104213270676421,0.03734606698155387,809.3196845949627,0.9833867183513436,0.9833864491664558,66.84412477991584,0.0,0.0,0.0,0.0,0.0,0.0,2331.9284936657036,2285.28992379239,1900.0,463.97806354513625,0.5073545750893292,250.62203053339226,1.0254793696000013,344.4435404235949,641.1130027291064,493.97806354513625,287.0362836863291,534.2608356075887,3.2353874110880043,5.127396848000006,11.690464813440014,0.8203834956800011,1.2685179801952016,0.5127396848000007,0.1650146354111767,1.0254793696000013,173.0454969495875,173.0454969495875,7489.251570455614,735.7241379310344,14.73025225556988,53.8425963632397,283.36779310344826,8.984267644919509e-05,0.0,-0.0007490965564740994,6.282594878348402e-07,0.002535425709042419,-5.238345934355527e-06,6.282594878348402e-07,0.002535425709042419,-5.238345934355527e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.60570676045373,3.105419679365474,371.91471988952827,-0.008730577636115242,0.0,0.0,0.0
9,1900.0,450.94328060668096,2266.416384083018,0.7151857555301269,0.5665179106124357,47383852.0069664,0.6608740365939241,0.11065273636422197,0.08765101447265482,3000.0,29.135711693202712,92.74185072947094,0.6870994557587468,0.7363247270529892,22329382.037415057,0.495112887718789,0.028063385570692,0.030073906400790416,3000.0,29.135711693202712,92.74185072947094,0.6870994557587468,0.7363247270529892,22329382.037415057,0.495112887718789,0.028063385570692,0.030073906400790416,0.973168117405837,92.74185072947094,301.75367959083235,99.21679276043488,0.973168117405837,92.74185072947094,301.75367959083235,99.21679276043488,0.12159731603679533,0.95,31.5360524203503,358.15,358.15,295.91763177810464,2330.289533431405,232.29892728546702,96.44354266452889,32.57121445856938,27.067904496668877,0.12159731603679533,0.95,31.5360524203503,358.15,358.15,295.91763177810464,2330.289533431405,232.29892728546702,96.44354266452889,32.57121445856938,27.067904496668877,999.3251664575744,999.3251664575744,31.536052420348376,288.93151558870807,7.0938619896480315,31.536052420348376,288.93151558870807,7.0938619896480315,1000.0,0.95,0.5527893936070389,82.06563338920995,63.0721048407006,0.45757567337699434,97.87107993852366,4.102726439067863,0.03763532243951121,809.0072124481994,0.9834333013304364,0.9835282097359287,66.39168930600063,0.0,0.0,0.0,0.0,0.0,0.0,2312.6697796765484,2266.416384083018,1900.0,460.14620470069485,0.5061489518579297,248.08698776639892,1.028821739369732,346.4531811929258,638.3319256824782,490.14620470069485,288.71098432743815,531.9432714020652,3.2459325877115046,5.144108696848661,11.728567828814946,0.8230573914957857,1.2726524916003588,0.514410869684866,0.16540769258780894,1.028821739369732,172.5327572647875,172.5327572647875,7398.071205673723,840.8275862068965,14.929272571193977,54.11986743839471,282.68462068965516,8.792080615022391e-05,0.0,-0.0007330722517689377,6.135082108797087e-07,0.002506669759278507,-5.115351704804346e-06,6.135082108797087e-07,0.002506669759278507,-5.115351704804346e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.96586850971553,3.077680758240523,368.8477314492772,-0.008658581075466514,0.0,0.0,0.0
