,time,altitude,ground_distance,mass,x_cg,true_airspeed,equivalent_airspeed,mach,d_vx_dt,density,exterior_temperature,gamma,alpha,delta_m,cl_wing,cl_htp,cl_aircraft,cd_aircraft,l_d_aircraft,delta_Cl,delta_Cd,delta_Cm,thrust (N),thrust_rate,engine_setting,tsfc (kg/s/N),fuel_flow (kg/s),energy_consumed (W*h),time step (s),name
0,0.0,0.0,0.0,3881.138595408462,6.146706162577479,51.95888888888889,51.95888888888889,0.1526876638538266,0.019575174183797624,1.2249908312142817,288.15,8.688014559389723,8.136813881162178,-7.2779970207879465,0.8413872887264798,0.014754216276907664,0.8561415050033875,0.05303653820474445,16.142484671573083,0.005482658841005465,-0.008719246081862746,-0.0008812487955869574,8148.966392950561,0.6249696881199434,2.0,9.165488842815644e-06,0.07468926055506801,262.19550523297136,13.473003469298392,sizing:main_route:climb
1,13.473003469298392,105.10344827586206,693.8993980670487,3880.1323067418843,6.146672587353962,52.22200233305067,51.95888888888889,0.1536430991174142,0.019482053839967695,1.2126780289136994,287.4668275862069,8.538360747788618,8.142045835597814,-7.2831361310489795,0.8418030843981064,0.014762592292918847,0.8565656766910252,0.053136475394290436,16.12010714551579,0.005422859492394794,-0.008652773994427288,-0.0008630118031723215,8052.400088559658,0.6202956435550053,2.0,9.183501424614574e-06,0.07394922768485414,263.6724674931947,13.639308487059706,sizing:main_route:climb
2,27.1123119563581,210.20689655172413,1400.2012255016784,3879.123690413111,6.146638918052915,52.48707895612712,51.95888888888889,0.15460680767253954,0.019386800855991603,1.2004601313403993,286.7836551724138,8.38994910038509,8.147153243896977,-7.288162374224364,0.8422078771375131,0.014770630133575685,0.8569785072710888,0.053235472182121484,16.097884965485385,0.005363378702036978,-0.008586381463618193,-0.0008450647131749956,7956.612994540917,0.6156431521591225,2.0,9.201702442835327e-06,0.07321438522856247,265.1929555734016,13.809770412566884,sizing:main_route:climb
3,40.92208236892498,315.31034482758616,2119.2381298822593,3878.112616562207,6.146605150210363,52.75413813521531,51.95888888888889,0.15557888112449042,0.019289379956387676,1.1883366304559377,286.10048275862067,8.242772863276963,8.152137419890117,-7.293076966021046,0.8426017892868803,0.014778332998702473,0.8573801222855828,0.05333353436992417,16.075816696091238,0.0053042193823222995,-0.008520071142584625,-0.0008274045305290753,7861.601855277156,0.6110121624470131,2.0,9.220094284961518e-06,0.07248471033648377,266.7586044946125,13.984547075481593,sizing:main_route:climb
4,54.906629444406576,420.41379310344826,2851.3557130855147,3877.098950718254,6.146571279199257,53.02319948557105,51.95888888888889,0.15655941231497028,0.019189755256848722,1.1763070197395138,285.41731034482757,8.096825355193227,8.156999646938814,-7.297881095368307,0.8429849403138137,0.01478570399316781,0.8577706443069815,0.05343066758040441,16.053900936502,0.00524538434074695,-0.00845384568778376,-0.000810028267952622,7767.363410579273,0.606402622898525,2.0,9.238679382332788e-06,0.0717601801964048,268.3711331298681,14.16380439786127,sizing:main_route:climb
5,69.07043384226785,525.5172413793103,3596.9131984162846,3876.0825535623967,6.146537300221102,53.29428286411528,51.95888888888889,0.15754849534179874,0.019087890252691746,1.1643707941870456,284.73413793103447,7.952099965728594,8.161741177636285,-7.302575924204171,0.8433574467856416,0.014792746125224354,0.8581501929108659,0.05352687725404542,16.032136319815095,0.005186876281435205,-0.008387707758406509,-0.0007929329461267027,7673.894395548697,0.6018144819410447,2.0,9.257460211293386e-06,0.07104077203245937,270.03234964169843,14.347716919545164,sizing:main_route:climb
6,83.41815076181301,630.6206896551723,4356.284141109291,3875.0632806755293,6.146503208297044,53.56740837300073,51.95888888888889,0.15854622557897458,0.018983747807065094,1.1525274503102383,284.05096551724137,7.808590153621462,8.16636323346533,-7.307162587226408,0.8437194223398029,0.014799462304685623,0.8585188846444886,0.053622168645619216,16.01052151244217,0.0051286978066204855,-0.00832166001579067,-0.000776115593874849,7581.191540430388,0.5972476879307634,2.0,9.276439294382663e-06,0.07032646310388989,271.74415734833326,14.53646836501072,sizing:main_route:climb
7,97.95461912682373,735.7241379310344,5129.857185627024,3874.0409822693964,6.146468998258355,53.8425963632397,51.95888888888889,0.15955269969710797,0.018877290138906894,1.1407764861356606,283.36779310344826,7.6662894450740415,8.170867004410932,-7.3116421916062695,0.8440709776500718,0.014805855340924948,0.8588768329909967,0.05371654682043201,15.989055213510266,0.005070851418084838,-0.008255705122820258,-0.0007595732483428105,7489.251570455614,0.5927021891326995,2.0,9.295619201570612e-06,0.06961723070372007,273.5085610585972,14.73025225556988,sizing:main_route:climb
8,112.68487138239361,840.8275862068965,5918.036873497384,3873.0155028997965,6.146434664736305,54.11986743839471,51.95888888888889,0.1605680156842304,0.018768478810649428,1.12911740120381,282.68462068965516,7.525191432113415,8.175253648524658,-7.316015816662029,0.844412220388358,0.01481192794069118,0.8592241483290491,0.05381001665028147,15.967736154278903,0.005013339518557014,-0.00818984574331007,-0.0007433029551785464,7398.071205673723,0.5881779336993916,2.0,9.315002551541042e-06,0.06891305215733304,275.3276739198077,14.929272571193977,sizing:main_route:climb
9,127.61414395358759,945.9310344827586,6721.244505788862,3871.9866811604265,6.146400202151328,54.399242458332765,51.95888888888889,0.16159227286698993,0.01865727471566343,1.1175496965681815,282.00144827586206,7.385289770992455,8.179524291437573,-7.320284513490308,0.8447432551817856,0.014817682705720217,0.8595609378875059,0.05390258280910263,15.946563097572946,0.004956164413067992,-0.008124084541374317,-0.0007273017687123305,7307.647160772071,0.5836748696481695,2.0,9.334592013024021e-06,0.06821390482094064,277.203724827792,15.133744466724693,sizing:main_route:climb
